,TPM_value,TPM_var,TDES_value,TDES_var,IPC_value,IPC_var,PIB_value,PIB_var,BC_value,BC_var
2020-03-11,1.09,0.0,7.72258064516129,4.496,257468.51612903227,-0.025,20528342.384615384,-0.101,-46874.74193548387,0.624
2020-03-12,1.1,0.9169999999999999,8.05483870967742,4.3020000000000005,257402.96774193548,-0.025,20507622.31868132,-0.101,-47165.51612903226,0.62
2020-03-13,1.1,0.0,8.387096774193548,4.125,257337.41935483873,-0.025,20486902.252747253,-0.101,-47456.290322580644,0.616
2020-03-14,1.1,0.0,8.719354838709677,3.962,257271.87096774194,-0.025,20466182.186813187,-0.101,-47747.06451612903,0.613
2020-03-15,1.1,0.0,9.051612903225806,3.811,257206.32258064515,-0.025,20445462.12087912,-0.101,-48037.83870967742,0.609
2020-03-16,0.25,-77.273,9.383870967741935,3.671,257140.7741935484,-0.025,20424742.054945055,-0.101,-48328.6129032258,0.605
2020-03-17,0.25,0.0,9.716129032258063,3.5409999999999995,257075.2258064516,-0.025,20404021.98901099,-0.101,-48619.3870967742,0.602
2020-03-18,0.25,0.0,10.048387096774192,3.42,257009.67741935485,-0.025,20383301.923076924,-0.10200000000000001,-48910.16129032258,0.598
2020-03-19,0.2,-20.0,10.380645161290321,3.3070000000000004,256944.12903225806,-0.026,20362581.85714286,-0.10200000000000001,-49200.93548387097,0.5950000000000001
2020-03-20,0.15,-25.0,10.712903225806452,3.2009999999999996,256878.58064516127,-0.026,20341861.791208792,-0.10200000000000001,-49491.709677419356,0.5910000000000001
2020-03-21,0.15,0.0,11.04516129032258,3.101,256813.03225806452,-0.026,20321141.725274727,-0.10200000000000001,-49782.48387096774,0.588
2020-03-22,0.15,0.0,11.37741935483871,3.008,256747.48387096773,-0.026,20300421.65934066,-0.10200000000000001,-50073.25806451613,0.584
2020-03-23,0.15,0.0,11.709677419354838,2.92,256681.93548387097,-0.026,20279701.593406595,-0.10200000000000001,-50364.032258064515,0.581
2020-03-24,0.12,-20.0,12.041935483870967,2.8369999999999997,256616.38709677418,-0.026,20258981.527472526,-0.10200000000000001,-50654.8064516129,0.577
2020-03-25,0.1,-16.667,12.374193548387096,2.759,256550.8387096774,-0.026,20238261.46153846,-0.10200000000000001,-50945.58064516129,0.5740000000000001
2020-03-26,0.1,0.0,12.706451612903225,2.685,256485.29032258064,-0.026,20217541.395604394,-0.10200000000000001,-51236.354838709674,0.571
2020-03-27,0.1,0.0,13.038709677419353,2.6149999999999998,256419.74193548385,-0.026,20196821.32967033,-0.10200000000000001,-51527.12903225806,0.5680000000000001
2020-03-28,0.1,0.0,13.370967741935484,2.548,256354.19354838706,-0.026,20176101.263736263,-0.10300000000000001,-51817.903225806454,0.5640000000000001
2020-03-29,0.1,0.0,13.703225806451613,2.485,256288.6451612903,-0.026,20155381.197802197,-0.10300000000000001,-52108.67741935484,0.561
2020-03-30,0.09,-10.0,14.035483870967742,2.4250000000000003,256223.09677419352,-0.026,20134661.13186813,-0.10300000000000001,-52399.45161290323,0.5579999999999999
2020-03-31,0.08,-11.111,14.36774193548387,2.367,256157.54838709676,-0.026,20113941.065934066,-0.10300000000000001,-52690.22580645161,0.555
2020-04-01,0.06,-25.0,14.7,2.313,256091.99999999997,-0.026,20093221.0,-0.10300000000000001,-52981.0,0.5519999999999999
2020-04-02,0.05,-16.667,14.649999999999999,-0.33999999999999997,256084.5333333333,-0.003,20112674.56043956,0.097,-53038.3,0.108
2020-04-03,0.05,0.0,14.6,-0.34099999999999997,256077.06666666665,-0.003,20132128.12087912,0.097,-53095.6,0.108
2020-04-04,0.05,0.0,14.549999999999999,-0.34199999999999997,256069.59999999998,-0.003,20151581.68131868,0.097,-53152.9,0.108
2020-04-05,0.05,0.0,14.5,-0.344,256062.1333333333,-0.003,20171035.241758242,0.097,-53210.2,0.108
2020-04-06,0.05,0.0,14.45,-0.345,256054.66666666663,-0.003,20190488.802197803,0.096,-53267.5,0.108
2020-04-07,0.05,0.0,14.399999999999999,-0.346,256047.19999999998,-0.003,20209942.362637363,0.096,-53324.8,0.108
2020-04-08,0.05,0.0,14.35,-0.347,256039.7333333333,-0.003,20229395.923076924,0.096,-53382.1,0.107
2020-04-09,0.05,0.0,14.299999999999999,-0.348,256032.26666666663,-0.003,20248849.483516484,0.096,-53439.4,0.107
2020-04-10,0.05,0.0,14.25,-0.35000000000000003,256024.8,-0.003,20268303.043956045,0.096,-53496.7,0.107
2020-04-11,0.05,0.0,14.2,-0.35100000000000003,256017.3333333333,-0.003,20287756.604395606,0.096,-53554.0,0.107
2020-04-12,0.05,0.0,14.149999999999999,-0.35200000000000004,256009.86666666664,-0.003,20307210.164835166,0.096,-53611.3,0.107
2020-04-13,0.05,0.0,14.1,-0.35300000000000004,256002.4,-0.003,20326663.725274727,0.096,-53668.6,0.107
2020-04-14,0.05,0.0,14.049999999999999,-0.35500000000000004,255994.93333333332,-0.003,20346117.285714287,0.096,-53725.9,0.107
2020-04-15,0.05,0.0,14.0,-0.356,255987.46666666665,-0.003,20365570.846153848,0.096,-53783.2,0.107
2020-04-16,0.05,0.0,13.95,-0.357,255980.0,-0.003,20385024.406593405,0.096,-53840.5,0.107
2020-04-17,0.05,0.0,13.899999999999999,-0.358,255972.53333333333,-0.003,20404477.967032965,0.095,-53897.8,0.106
2020-04-18,0.05,0.0,13.85,-0.36,255965.06666666665,-0.003,20423931.527472526,0.095,-53955.1,0.106
2020-04-19,0.05,0.0,13.799999999999999,-0.361,255957.59999999998,-0.003,20443385.087912086,0.095,-54012.4,0.106
2020-04-20,0.05,0.0,13.75,-0.362,255950.13333333333,-0.003,20462838.648351647,0.095,-54069.7,0.106
2020-04-21,0.05,0.0,13.7,-0.364,255942.66666666666,-0.003,20482292.208791208,0.095,-54127.0,0.106
2020-04-22,0.05,0.0,13.649999999999999,-0.365,255935.19999999998,-0.003,20501745.769230768,0.095,-54184.3,0.106
2020-04-23,0.04,-20.0,13.6,-0.366,255927.73333333334,-0.003,20521199.32967033,0.095,-54241.6,0.106
2020-04-24,0.05,25.0,13.549999999999999,-0.368,255920.26666666666,-0.003,20540652.89010989,0.095,-54298.9,0.106
2020-04-25,0.05,0.0,13.5,-0.369,255912.8,-0.003,20560106.45054945,0.095,-54356.2,0.106
2020-04-26,0.05,0.0,13.45,-0.37,255905.3333333333,-0.003,20579560.01098901,0.095,-54413.5,0.105
2020-04-27,0.04,-20.0,13.399999999999999,-0.372,255897.86666666667,-0.003,20599013.57142857,0.095,-54470.8,0.105
2020-04-28,0.04,0.0,13.35,-0.373,255890.4,-0.003,20618467.13186813,0.094,-54528.1,0.105
2020-04-29,0.04,0.0,13.299999999999999,-0.375,255882.93333333332,-0.003,20637920.692307692,0.094,-54585.4,0.105
2020-04-30,0.05,25.0,13.25,-0.376,255875.46666666667,-0.003,20657374.252747253,0.094,-54642.7,0.105
2020-05-01,0.05,0.0,13.2,-0.377,255868.0,-0.003,20676827.813186813,0.094,-54700.0,0.105
2020-05-02,0.05,0.0,13.129032258064516,-0.538,255904.06451612903,0.013999999999999999,20696281.373626374,0.094,-54520.032258064515,-0.329
2020-05-03,0.05,0.0,13.058064516129031,-0.541,255940.12903225806,0.013999999999999999,20715734.934065934,0.094,-54340.06451612903,-0.33
2020-05-04,0.05,0.0,12.987096774193548,-0.543,255976.1935483871,0.013999999999999999,20735188.494505495,0.094,-54160.096774193546,-0.331
2020-05-05,0.05,0.0,12.916129032258064,-0.5459999999999999,256012.25806451612,0.013999999999999999,20754642.054945055,0.094,-53980.12903225807,-0.332
2020-05-06,0.05,0.0,12.84516129032258,-0.549,256048.32258064515,0.013999999999999999,20774095.615384616,0.094,-53800.16129032258,-0.333
2020-05-07,0.05,0.0,12.774193548387096,-0.5519999999999999,256084.38709677418,0.013999999999999999,20793549.175824177,0.094,-53620.1935483871,-0.335
2020-05-08,0.05,0.0,12.703225806451613,-0.5559999999999999,256120.4516129032,0.013999999999999999,20813002.736263737,0.094,-53440.22580645161,-0.336
2020-05-09,0.05,0.0,12.632258064516128,-0.559,256156.51612903227,0.013999999999999999,20832456.296703298,0.093,-53260.25806451613,-0.337
2020-05-10,0.05,0.0,12.561290322580644,-0.562,256192.5806451613,0.013999999999999999,20851909.85714286,0.093,-53080.290322580644,-0.338
2020-05-11,0.05,0.0,12.490322580645161,-0.565,256228.64516129033,0.013999999999999999,20871363.41758242,0.093,-52900.32258064516,-0.33899999999999997
2020-05-12,0.05,0.0,12.419354838709676,-0.5680000000000001,256264.70967741936,0.013999999999999999,20890816.97802198,0.093,-52720.354838709674,-0.33999999999999997
2020-05-13,0.05,0.0,12.348387096774193,-0.571,256300.7741935484,0.013999999999999999,20910270.53846154,0.093,-52540.3870967742,-0.34099999999999997
2020-05-14,0.05,0.0,12.27741935483871,-0.575,256336.83870967742,0.013999999999999999,20929724.0989011,0.093,-52360.41935483871,-0.34299999999999997
2020-05-15,0.05,0.0,12.206451612903226,-0.5780000000000001,256372.90322580645,0.013999999999999999,20949177.65934066,0.093,-52180.45161290323,-0.344
2020-05-16,0.05,0.0,12.135483870967741,-0.581,256408.96774193548,0.013999999999999999,20968631.21978022,0.093,-52000.48387096774,-0.345
2020-05-17,0.05,0.0,12.064516129032258,-0.585,256445.03225806452,0.013999999999999999,20988084.78021978,0.093,-51820.51612903226,-0.346
2020-05-18,0.05,0.0,11.993548387096773,-0.588,256481.09677419355,0.013999999999999999,21007538.34065934,0.093,-51640.54838709677,-0.347
2020-05-19,0.05,0.0,11.92258064516129,-0.592,256517.16129032258,0.013999999999999999,21026991.9010989,0.093,-51460.58064516129,-0.349
2020-05-20,0.05,0.0,11.851612903225806,-0.5950000000000001,256553.2258064516,0.013999999999999999,21046445.46153846,0.093,-51280.6129032258,-0.35000000000000003
2020-05-21,0.05,0.0,11.780645161290323,-0.599,256589.29032258064,0.013999999999999999,21065899.02197802,0.092,-51100.645161290326,-0.35100000000000003
2020-05-22,0.05,0.0,11.709677419354838,-0.602,256625.35483870967,0.013999999999999999,21085352.58241758,0.092,-50920.67741935484,-0.35200000000000004
2020-05-23,0.05,0.0,11.638709677419355,-0.606,256661.4193548387,0.013999999999999999,21104806.14285714,0.092,-50740.709677419356,-0.35300000000000004
2020-05-24,0.05,0.0,11.567741935483872,-0.61,256697.48387096773,0.013999999999999999,21124259.703296702,0.092,-50560.74193548387,-0.35500000000000004
2020-05-25,0.05,0.0,11.496774193548386,-0.613,256733.5483870968,0.013999999999999999,21143713.263736263,0.092,-50380.77419354839,-0.356
2020-05-26,0.05,0.0,11.425806451612903,-0.617,256769.61290322582,0.013999999999999999,21163166.824175823,0.092,-50200.8064516129,-0.357
2020-05-27,0.05,0.0,11.35483870967742,-0.621,256805.67741935485,0.013999999999999999,21182620.384615384,0.092,-50020.83870967742,-0.358
2020-05-28,0.05,0.0,11.283870967741935,-0.625,256841.74193548388,0.013999999999999999,21202073.945054945,0.092,-49840.87096774194,-0.36
2020-05-29,0.05,0.0,11.212903225806452,-0.629,256877.8064516129,0.013999999999999999,21221527.505494505,0.092,-49660.903225806454,-0.361
2020-05-30,0.05,0.0,11.141935483870968,-0.633,256913.87096774194,0.013999999999999999,21240981.065934066,0.092,-49480.93548387097,-0.362
2020-05-31,0.05,0.0,11.070967741935483,-0.637,256949.93548387097,0.013999999999999999,21260434.626373626,0.092,-49300.967741935485,-0.364
2020-06-01,0.05,0.0,11.0,-0.641,256986.0,0.013999999999999999,21279888.186813187,0.092,-49121.0,-0.365
2020-06-02,0.06,20.0,10.973333333333333,-0.242,257029.06666666668,0.017,21299341.747252747,0.091,-49465.96666666667,0.7020000000000001
2020-06-03,0.06,0.0,10.946666666666667,-0.243,257072.13333333333,0.017,21318795.307692308,0.091,-49810.933333333334,0.697
2020-06-04,0.06,0.0,10.92,-0.244,257115.2,0.017,21338248.86813187,0.091,-50155.9,0.6930000000000001
2020-06-05,0.07,16.667,10.893333333333333,-0.244,257158.26666666666,0.017,21357702.42857143,0.091,-50500.86666666667,0.688
2020-06-06,0.07,0.0,10.866666666666667,-0.245,257201.33333333334,0.017,21377155.98901099,0.091,-50845.833333333336,0.683
2020-06-07,0.07,0.0,10.84,-0.245,257244.4,0.017,21396609.54945055,0.091,-51190.8,0.6779999999999999
2020-06-08,0.07,0.0,10.813333333333333,-0.246,257287.46666666667,0.017,21416063.10989011,0.091,-51535.76666666666,0.674
