,realtime_start,realtime_end,observation_start,observation_end,units,output_type,file_type,order_by,sort_order,count,offset,limit,realtime_start,realtime_end,date,value
41,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1949-04-01,272.68
42,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1949-07-01,274.162
43,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1949-10-01,271.76
44,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1950-01-01,282.056
45,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1950-04-01,291.699
46,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1950-07-01,309.76
47,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1950-10-01,321.554
48,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1951-01-01,337.537
49,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1951-04-01,345.973
50,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1951-07-01,353.381
51,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1951-10-01,358.33
52,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1952-01-01,361.821
53,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1952-04-01,363.049
54,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1952-07-01,369.683
55,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1952-10-01,382.751
56,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1953-01-01,389.888
57,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1953-04-01,393.801
58,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1953-07-01,392.98
59,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1953-10-01,387.798
